Task_ID,CPU_Usage (%),RAM_Usage (MB),Disk_IO (MB/s),Network_IO (MB/s),Priority,VM_ID,Execution_Time (s),Target (Optimal Scheduling)
1,35,4864,66,14,1,103,6.61,0
2,57,10592,84,29,3,108,5.11,0
3,62,8580,37,18,2,100,7.45,0
4,59,3595,87,32,2,103,9.15,0
5,77,9753,42,35,2,102,7.39,0
6,70,9104,76,41,3,107,3.7,1
7,43,3529,94,3,1,100,2.01,1
8,78,574,68,8,3,101,2.79,1
9,55,5823,52,48,3,108,1.88,1
10,88,7334,57,18,2,101,3.79,1
11,78,6344,78,25,3,102,2.32,1
12,63,8104,24,30,2,109,6.2,0
13,32,1396,47,12,1,104,2.03,1
14,86,4627,62,40,3,105,6.6,0
15,77,592,27,12,3,105,4.22,1
16,45,10211,61,44,3,108,9.81,0
17,86,6806,62,46,1,109,4.63,1
18,76,2284,70,15,2,102,5.38,0
19,61,12987,67,20,3,100,6.96,0
20,56,13091,17,24,2,101,9.88,0
21,64,4083,94,40,2,100,2.87,1
22,58,4979,98,3,2,101,8.81,0
23,47,2831,63,6,3,104,2.32,1
24,47,15208,26,44,3,104,1.92,1
25,71,8207,94,1,2,105,6.5,0
26,87,6926,56,43,1,107,6.22,0
27,34,13737,48,22,1,107,3.87,1
28,79,7008,40,37,2,106,8.6,0
29,53,15566,71,32,3,105,3.34,1
30,36,2956,10,27,2,109,7.92,0
31,84,13468,92,17,2,100,2.76,1
32,54,3750,56,46,3,104,6.96,0
33,94,13970,79,6,1,105,2.28,1
34,69,2269,5,39,2,109,4.44,1
35,93,815,67,40,3,103,3.02,1
36,87,11083,99,30,1,103,8.53,0
37,70,7883,97,34,3,103,1.26,1
38,83,3101,20,18,2,105,7.11,0
39,39,4297,16,27,2,108,5.04,0
40,54,8667,6,21,3,105,9.4,0
41,31,5417,32,31,3,109,2.64,1
42,33,9103,64,1,3,101,4.88,1
43,80,7861,99,48,1,102,8.76,0
44,40,8325,84,4,3,109,6.22,0
45,90,10103,95,44,3,108,4.22,1
46,45,3595,49,13,1,108,8.64,0
47,58,15559,76,29,3,105,2.8,1
48,69,6782,81,26,3,100,7.89,0
49,75,11146,20,18,1,105,8.1,0
